seq_ID	annotation	annotation_type	SM	EO
Ev-comp1173565_c0_seq1	vsx2	blast	0.0	3.3
Ev-comp1174726_c0_seq1	PRRG3	blast	0.0	4.1
Ev-comp117581_c0_seq1		blast	4.9	12.8
Ev-comp117692_c0_seq1		blast	2.4	1.6
Ev-comp117755_c0_seq1		blast	0.0	5.8
Ev-comp1180548_c0_seq1	KIF20B	blast	4.9	2.5
Ev-comp1182925_c0_seq1		blast	4.9	6.2
Ev-comp118356_c0_seq1		blast	36.4	12.8
Ev-comp1194365_c0_seq1		blast	0.0	4.5
Ev-comp119509_c0_seq1	apoa2	blast	0.0	3.3
Ev-comp119579_c0_seq1		blast	7.3	10.7
Ev-comp119939_c0_seq1		blast	43.7	16.1
Ev-comp120456_c0_seq1	MTHFS	blast	7.3	12.0
Ev-comp120604_c0_seq1	ccdc80l2	blast	2.4	12.4
Ev-comp120734_c0_seq1	DLK1	blast	2.4	2.9
Ev-comp120900_c0_seq1	cd247l	blast	0.0	2.5
Ev-comp121414_c0_seq1	KBTBD3	blast	4.9	4.9
Ev-comp121466_c0_seq1		blast	0.0	1.6
Ev-comp1215681_c0_seq1		blast	0.0	2.9
Ev-comp121871_c0_seq1	SYTL1	blast	0.0	5.4
Ev-comp1220884_c0_seq1	map2	blast	7.3	3.7
Ev-comp122117_c0_seq1	heyl	blast	0.0	6.2
Ev-comp122291_c0_seq2		blast	21.8	0.0
Ev-comp1225116_c0_seq1	mmp23bb	blast	0.0	5.8
Ev-comp122545_c0_seq1		blast	17.0	15.3
Ev-comp122634_c0_seq1		blast	80.1	83.7
Ev-comp122703_c0_seq1		blast	2.4	1.6
Ev-comp122713_c0_seq2		blast	0.0	0.8
Ev-comp1229637_c0_seq1		blast	0.0	0.0
Ev-comp1232156_c0_seq1	tas1r2.2	blast	17.0	5.4
Ev-comp123261_c0_seq1		blast	7.3	0.4
Ev-comp123265_c0_seq2		blast	31.5	10.7
Ev-comp1232973_c0_seq1	OVOL3	blast	0.0	3.7
Ev-comp123362_c0_seq1	ANKRD30B	blast	31.5	41.2
Ev-comp123677_c0_seq1		blast	0.0	3.3
Ev-comp123885_c0_seq1		blast	2.4	2.9
Ev-comp124037_c0_seq2		blast	9.7	0.8
Ev-comp124228_c0_seq1		blast	2.4	3.7
Ev-comp124410_c0_seq1		blast	0.0	2.9
Ev-comp124510_c0_seq1	DCC (2 of 2)	blast	0.0	0.8
