group_ID	annotation	annotation_type	EO	SM
comp23279_c0		blast	7.47	15.0
comp23284_c0	tmem107l	blast	10.13	11.25
comp233359_c0		blast	10.67	9.38
comp23336_c0		blast	14.4	13.13
comp23338_c0		blast	2.67	30.0
comp23340_c0	gsg1l	blast	8.53	43.13
comp23341_c0	luzp2	blast	11.2	0.0
comp23349_c0		blast	0.53	52.5
comp23352_c0		blast	0.0	114.38
comp23355_c0	phf13	blast	17.6	1.88
comp23362_c0		blast	0.0	65.63
comp233749_c0		blast	21.87	15.0
comp23377_c0	zgc:122979	blast	23.46	3.75
comp23379_c0	CYSLTR2	blast	20.8	0.0
comp23380_c0		blast	1.6	33.75
comp23390_c0		blast	5.33	20.63
comp23395_c0	PAQR9	blast	14.4	20.63
comp23396_c0		blast	6.4	18.75
comp23470_c0	si:ch211-14a17.7	blast	0.0	54.38
comp23475_c0	enpep	blast	17.07	3.75
comp23476_c0		blast	13.87	5.63
comp23477_c0	acat2	blast	17.07	24.38
comp23479_c0		blast	12.27	18.75
comp23481_c0		blast	19.73	13.13
comp23492_c0		blast	5.87	50.63
comp23501_c0		blast	13.87	0.0
comp23502_c0		blast	0.0	54.38
comp23503_c0		blast	9.6	11.25
comp23534_c0	htr2cl2	blast	12.27	13.13
comp23542_c0	sarm1	blast	8.53	9.38
comp23562_c0		blast	5.87	24.38
comp23581_c0		blast	11.2	16.88
comp23581_c1		blast	9.6	18.75
comp23584_c0	AL844567.2	blast	5.33	97.51
comp23628_c0		blast	10.67	9.38
comp23637_c0		blast	12.27	1.88
comp23652_c0		blast	4.27	46.88
comp23653_c1	slit1a	blast	10.67	41.25
comp23671_c0		blast	12.8	26.25
comp236745_c0	rnf41l	blast	11.73	35.63
comp23682_c1	MGAT3 (1 of 2)	blast	9.6	15.0
comp23714_c0		blast	13.33	5.63
comp23727_c0		blast	7.47	16.88
comp237400_c0		blast	6.93	22.5
comp23745_c0		blast	10.13	16.88
comp23754_c0		blast	0.53	112.51
comp23764_c0	cd9a	blast	14.93	97.51
comp23779_c0		blast	20.8	0.0
comp23786_c0		blast	10.67	1.88
comp23789_c0		blast	6.4	39.38
comp23791_c0	zgc:194930	blast	35.73	13.13
comp23801_c0		blast	8.0	13.13
comp238160_c0	TOR4A (4 of 4)	blast	46.4	48.75
comp23825_c0	agxt2	blast	0.0	58.13
comp23828_c0	myo5aa	blast	5.33	20.63
comp23838_c0		blast	6.93	28.13
comp23839_c0		blast	13.87	5.63
comp23848_c0		blast	21.33	0.0
comp23853_c0		blast	11.2	11.25
comp238747_c0	slco2a1	blast	26.13	9.38
comp23889_c0	ITPRIPL2	blast	18.13	13.13
comp23954_c0		blast	11.2	24.38
comp23963_c0		blast	19.2	39.38
comp239868_c0		blast	10.13	48.75
comp23991_c0	JMJD1C (2 of 2)	blast	36.8	97.51
comp23995_c0	NEDD9 (1 of 2)	blast	14.4	24.38
comp23997_c0	FAM181B	blast	21.87	43.13
comp24005_c0	npy	blast	2.13	31.88
comp240135_c0	phf16	blast	14.93	16.88
comp24076_c0		blast	10.67	5.63
comp24077_c0		blast	13.87	15.0
comp24089_c0	PALD1	blast	20.8	43.13
comp24097_c0		blast	10.13	13.13
comp240997_c0		blast	12.27	5.63
comp24113_c1	ahr2	blast	21.33	39.38
comp24116_c0		blast	14.4	35.63
comp24121_c1		blast	13.33	48.75
comp24127_c0		blast	13.87	52.5
comp241287_c0		blast	12.8	15.0
comp241321_c0		blast	22.4	16.88
comp24140_c0		blast	11.73	7.5
comp24141_c0	ccna2	blast	7.47	13.13
comp24150_c0	mettl20	blast	5.33	20.63
comp24163_c0		blast	5.87	28.13
comp24168_c0		blast	12.27	3.75
comp24170_c0	gpr183	blast	22.93	31.88
comp24176_c0		blast	6.93	16.88
comp24179_c0	CD200 (2 of 2)	blast	17.6	9.38
comp24181_c0		blast	21.87	15.0
comp24183_c0	hoxc10a	blast	2.13	99.38
comp24189_c0		blast	25.06	22.5
comp24194_c0	bcat1	blast	4.27	97.51
comp24204_c1		blast	13.87	46.88
comp24210_c0		blast	13.87	0.0
comp24211_c0		blast	10.67	15.0
comp24216_c0		blast	18.13	3.75
comp24240_c0		blast	11.73	30.0
comp242590_c0	rab42b	blast	52.8	5.63
comp24263_c0	FP102192.1	blast	24.0	28.13
comp24266_c0	larp6	blast	6.4	24.38
comp24276_c0		blast	0.0	60.0
comp24285_c0		blast	8.53	18.75
comp24306_c0		blast	12.27	9.38
comp24317_c0		blast	17.07	5.63
comp24330_c0	mfap4	blast	12.8	0.0
comp24356_c0	lrrc42	blast	16.0	33.75
comp24363_c0		blast	9.6	5.63
comp24379_c0	inpp4b	blast	16.53	5.63
comp24391_c0		blast	9.07	7.5
comp24394_c0		blast	14.93	5.63
comp24395_c0	ttnb	blast	0.0	50.63
comp24412_c0		blast	0.0	41.25
comp24423_c0	slc39a10	blast	12.8	39.38
comp24429_c0		blast	12.27	0.0
comp24455_c0	CU929396.1	blast	16.53	11.25
comp24457_c0	FBXL7	blast	34.66	45.0
comp245039_c0		blast	10.67	3.75
comp24518_c0		blast	11.2	16.88
comp24522_c0		blast	2.67	108.76
comp245274_c0		blast	13.33	1.88
comp24541_c0		blast	30.4	0.0
comp245430_c0		blast	21.33	26.25
comp245458_c0		blast	2.67	69.38
comp24547_c0		blast	20.27	11.25
